HACKATHON> show-unicode-characters :all

ARROWS

2190 : ←   #\LEFTWARDS_ARROW
2722 : ✢   #\FOUR_TEARDROP-SPOKED_ASTERISK
2723 : ✣   #\FOUR_BALLOON-SPOKED_ASTERISK
2724 : ✤   #\HEAVY_FOUR_BALLOON-SPOKED_ASTERISK
2725 : ✥   #\FOUR_CLUB-SPOKED_ASTERISK
2726 : ✦   #\BLACK_FOUR_POINTED_STAR
2727 : ✧   #\WHITE_FOUR_POINTED_STAR
2728 : ✨   #\SPARKLES
2729 : ✩   #\STRESS_OUTLINED_WHITE_STAR
272A : ✪   #\CIRCLED_WHITE_STAR
272B : ✫   #\OPEN_CENTRE_BLACK_STAR
272C : ✬   #\BLACK_CENTRE_WHITE_STAR
272D : ✭   #\OUTLINED_BLACK_STAR
272E : ✮   #\HEAVY_OUTLINED_BLACK_STAR
272F : ✯   #\PINWHEEL_STAR
2730 : ✰   #\SHADOWED_WHITE_STAR
2731 : ✱   #\HEAVY_ASTERISK
2732 : ✲   #\OPEN_CENTRE_ASTERISK
2733 : ✳   #\EIGHT_SPOKED_ASTERISK
2734 : ✴   #\EIGHT_POINTED_BLACK_STAR
2735 : ✵   #\EIGHT_POINTED_PINWHEEL_STAR
2736 : ✶   #\SIX_POINTED_BLACK_STAR
2737 : ✷   #\EIGHT_POINTED_RECTILINEAR_BLACK_STAR
2738 : ✸   #\HEAVY_EIGHT_POINTED_RECTILINEAR_BLACK_STAR
2739 : ✹   #\TWELVE_POINTED_BLACK_STAR
273A : ✺   #\SIXTEEN_POINTED_ASTERISK
273B : ✻   #\TEARDROP-SPOKED_ASTERISK
273C : ✼   #\OPEN_CENTRE_TEARDROP-SPOKED_ASTERISK
273D : ✽   #\HEAVY_TEARDROP-SPOKED_ASTERISK
273E : ✾   #\SIX_PETALLED_BLACK_AND_WHITE_FLORETTE
273F : ✿   #\BLACK_FLORETTE
2740 : ❀   #\WHITE_FLORETTE
2741 : ❁   #\EIGHT_PETALLED_OUTLINED_BLACK_FLORETTE
2742 : ❂   #\CIRCLED_OPEN_CENTRE_EIGHT_POINTED_STAR
2743 : ❃   #\HEAVY_TEARDROP-SPOKED_PINWHEEL_ASTERISK
2744 : ❄   #\SNOWFLAKE
2745 : ❅   #\TIGHT_TRIFOLIATE_SNOWFLAKE
2746 : ❆   #\HEAVY_CHEVRON_SNOWFLAKE
2747 : ❇   #\SPARKLE
2748 : ❈   #\HEAVY_SPARKLE
2749 : ❉   #\BALLOON-SPOKED_ASTERISK
274A : ❊   #\EIGHT_TEARDROP-SPOKED_PROPELLER_ASTERISK
274B : ❋   #\HEAVY_EIGHT_TEARDROP-SPOKED_PROPELLER_ASTERISK
274C : ❌   #\CROSS_MARK
274D : ❍   #\SHADOWED_WHITE_CIRCLE
274E : ❎   #\NEGATIVE_SQUARED_CROSS_MARK
274F : ❏   #\LOWER_RIGHT_DROP-SHADOWED_WHITE_SQUARE
2750 : ❐   #\UPPER_RIGHT_DROP-SHADOWED_WHITE_SQUARE
2751 : ❑   #\LOWER_RIGHT_SHADOWED_WHITE_SQUARE
2752 : ❒   #\UPPER_RIGHT_SHADOWED_WHITE_SQUARE
2753 : ❓   #\BLACK_QUESTION_MARK_ORNAMENT
2754 : ❔   #\WHITE_QUESTION_MARK_ORNAMENT
2755 : ❕   #\WHITE_EXCLAMATION_MARK_ORNAMENT
2756 : ❖   #\BLACK_DIAMOND_MINUS_WHITE_X
2757 : ❗   #\HEAVY_EXCLAMATION_MARK_SYMBOL
2758 : ❘   #\LIGHT_VERTICAL_BAR
2759 : ❙   #\MEDIUM_VERTICAL_BAR
275A : ❚   #\HEAVY_VERTICAL_BAR
275B : ❛   #\HEAVY_SINGLE_TURNED_COMMA_QUOTATION_MARK_ORNAMENT
275C : ❜   #\HEAVY_SINGLE_COMMA_QUOTATION_MARK_ORNAMENT
275D : ❝   #\HEAVY_DOUBLE_TURNED_COMMA_QUOTATION_MARK_ORNAMENT
275E : ❞   #\HEAVY_DOUBLE_COMMA_QUOTATION_MARK_ORNAMENT
275F : ❟   #\HEAVY_LOW_SINGLE_COMMA_QUOTATION_MARK_ORNAMENT
2760 : ❠   #\HEAVY_LOW_DOUBLE_COMMA_QUOTATION_MARK_ORNAMENT
2761 : ❡   #\CURVED_STEM_PARAGRAPH_SIGN_ORNAMENT
2762 : ❢   #\HEAVY_EXCLAMATION_MARK_ORNAMENT
2763 : ❣   #\HEAVY_HEART_EXCLAMATION_MARK_ORNAMENT
2764 : ❤   #\HEAVY_BLACK_HEART
2765 : ❥   #\ROTATED_HEAVY_BLACK_HEART_BULLET
2766 : ❦   #\FLORAL_HEART
2767 : ❧   #\ROTATED_FLORAL_HEART_BULLET
2768 : ❨   #\MEDIUM_LEFT_PARENTHESIS_ORNAMENT
2769 : ❩   #\MEDIUM_RIGHT_PARENTHESIS_ORNAMENT
276A : ❪   #\MEDIUM_FLATTENED_LEFT_PARENTHESIS_ORNAMENT
276B : ❫   #\MEDIUM_FLATTENED_RIGHT_PARENTHESIS_ORNAMENT
276C : ❬   #\MEDIUM_LEFT-POINTING_ANGLE_BRACKET_ORNAMENT
276D : ❭   #\MEDIUM_RIGHT-POINTING_ANGLE_BRACKET_ORNAMENT
276E : ❮   #\HEAVY_LEFT-POINTING_ANGLE_QUOTATION_MARK_ORNAMENT
276F : ❯   #\HEAVY_RIGHT-POINTING_ANGLE_QUOTATION_MARK_ORNAMENT
2770 : ❰   #\HEAVY_LEFT-POINTING_ANGLE_BRACKET_ORNAMENT
2771 : ❱   #\HEAVY_RIGHT-POINTING_ANGLE_BRACKET_ORNAMENT
2772 : ❲   #\LIGHT_LEFT_TORTOISE_SHELL_BRACKET_ORNAMENT
2773 : ❳   #\LIGHT_RIGHT_TORTOISE_SHELL_BRACKET_ORNAMENT
2774 : ❴   #\MEDIUM_LEFT_CURLY_BRACKET_ORNAMENT
2775 : ❵   #\MEDIUM_RIGHT_CURLY_BRACKET_ORNAMENT
2776 : ❶   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_ONE
2777 : ❷   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_TWO
2778 : ❸   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_THREE
2779 : ❹   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_FOUR
277A : ❺   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_FIVE
277B : ❻   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_SIX
277C : ❼   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_SEVEN
277D : ❽   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_EIGHT
277E : ❾   #\DINGBAT_NEGATIVE_CIRCLED_DIGIT_NINE
277F : ❿   #\DINGBAT_NEGATIVE_CIRCLED_NUMBER_TEN
2780 : ➀   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_ONE
2781 : ➁   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_TWO
2782 : ➂   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_THREE
2783 : ➃   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_FOUR
2784 : ➄   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_FIVE
2785 : ➅   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_SIX
2786 : ➆   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_SEVEN
2787 : ➇   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_EIGHT
2788 : ➈   #\DINGBAT_CIRCLED_SANS-SERIF_DIGIT_NINE
2789 : ➉   #\DINGBAT_CIRCLED_SANS-SERIF_NUMBER_TEN
278A : ➊   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_ONE
278B : ➋   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_TWO
278C : ➌   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_THREE
278D : ➍   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_FOUR
278E : ➎   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_FIVE
278F : ➏   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_SIX
2790 : ➐   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_SEVEN
2791 : ➑   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_EIGHT
2792 : ➒   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_DIGIT_NINE
2793 : ➓   #\DINGBAT_NEGATIVE_CIRCLED_SANS-SERIF_NUMBER_TEN
2794 : ➔   #\HEAVY_WIDE-HEADED_RIGHTWARDS_ARROW
2795 : ➕   #\HEAVY_PLUS_SIGN
2796 : ➖   #\HEAVY_MINUS_SIGN
2797 : ➗   #\HEAVY_DIVISION_SIGN
2798 : ➘   #\HEAVY_SOUTH_EAST_ARROW
2799 : ➙   #\HEAVY_RIGHTWARDS_ARROW
279A : ➚   #\HEAVY_NORTH_EAST_ARROW
279B : ➛   #\DRAFTING_POINT_RIGHTWARDS_ARROW
279C : ➜   #\HEAVY_ROUND-TIPPED_RIGHTWARDS_ARROW
279D : ➝   #\TRIANGLE-HEADED_RIGHTWARDS_ARROW
279E : ➞   #\HEAVY_TRIANGLE-HEADED_RIGHTWARDS_ARROW
279F : ➟   #\DASHED_TRIANGLE-HEADED_RIGHTWARDS_ARROW
27A0 : ➠   #\HEAVY_DASHED_TRIANGLE-HEADED_RIGHTWARDS_ARROW
27A1 : ➡   #\BLACK_RIGHTWARDS_ARROW
27A2 : ➢   #\THREE-D_TOP-LIGHTED_RIGHTWARDS_ARROWHEAD
27A3 : ➣   #\THREE-D_BOTTOM-LIGHTED_RIGHTWARDS_ARROWHEAD
27A4 : ➤   #\BLACK_RIGHTWARDS_ARROWHEAD
27A5 : ➥   #\HEAVY_BLACK_CURVED_DOWNWARDS_AND_RIGHTWARDS_ARROW
27A6 : ➦   #\HEAVY_BLACK_CURVED_UPWARDS_AND_RIGHTWARDS_ARROW
27A7 : ➧   #\SQUAT_BLACK_RIGHTWARDS_ARROW
27A8 : ➨   #\HEAVY_CONCAVE-POINTED_BLACK_RIGHTWARDS_ARROW
